17:9|18:2
17:15|6:164,35:18,39:7
17:17|6:6,20:128,32:26,36:31,38:3
17:21|17:48,25:9\n
17:22|17:29,17:39
17:30|13:26,28:82,29:62,30:37,34:36,34:39,39:52,42:12
17:31|6:151,25:68
17:34|6:152
17:37|31:18
17:41|17:89,18:54
17:46|6:25,18:57
17:49|17:98,23:82,27:67,37:16,37:53,56:47\n
17:58|33:6
17:61|2:34,7:11,15:31,18:50,20:116,38:74
17:75|17:86
17:83|41:51
17:94|18:55
17:96|10:29,13:43,29:52
17:97|18:17,7:178
17:98|18:106
17:99|46:33
18:17|7:178,17:97
18:28|6:52
18:31|22:23,35:33
18:32|16:76
18:36|41:50
18:38|72:20
18:43|28:81
18:46|19:76\n
18:52|28:64
18:56|6:48
18:57|6:25,17:46
18:57|32:22
18:67,18:68|18:72,18:73/18:75,18:76
