12:56|12:21
12:59|12:22,12:65,12:68,12:69,12:94
12:67|14:12,39:38
12:69|11:36
12:73|12:85,12:91,12:95
12:78|12:88
12:83|12:18
12:102|3:44,11:49
12:109|16:43,21:7,21:25,22:52
12:109|6:32,7:169\n
12:110|6:147
12:111|10:37
13:1|11:17,40:59
13:7|10:20,13:27,29:50
13:13|24:43
13:11|8:53
13:16|5:76,6:71,7:188,10:49,10:106,20:89,21:66,25:3,25:55,34:42
13:16|6:12
13:18|5:36,39:47
13:22|14:31,35:29
13:23|40:8
13:25|2:27
13:26|17:30,28:82,29:62,30:37,34:36,34:39,39:52,42:12
13:32|6:10,21:41\n
13:32|22:44
13:33|39:23,39:36,40:33\n
13:37|2:120,2:145
13:38|30:47,40:78
13:40|10:46,40:77
13:43|10:29,17:96,29:52
14:4|4:64
14:6|2:49,7:141
14:9|9:70,40:31
14:9|11:62
14:21|40:47
14:22|42:21\n
14:32|2:22
14:34|16:18
14:35|2:126
14:51|3:25,39:70
