46:4|35:40
46:7|8:31,10:15,19:73,22:72,31:7,34:43,45:25
46:10|41:52
46:11|19:73,29:12,36:47
46:13|41:30
46:15|27:19
46:15|29:8,31:14
46:18|41:25\n
46:19|6:132
46:20|46:34
46:21|11:26\n
46:22|7:70,10:78\n
46:23|67:26\n
46:33|17:99
47:16|6:25
47:23|4:52
47:29|29:4,45:21
47:36|6:70,6:32,29:64,57:20
48:2|48:20
48:5|2:271,8:29,66:8
48:8|33:45
48:9|33:42
48:17|24:61
48:23|33:62,33:38,40:85\n
48:26|9:40,9:26
48:28|9:33,61:9\n
49:15|9:44,9:81,9:88,9:41
50:2|38:4
50:7|15:19
50:12,50:13|22:42,22:43/38:12,38:13
50:14|38:14
50:17|70:37\n
50:31|26:90
50:39|20:130
50:40|52:49
50:43|15:23
51:5|77:7
51:19|70:24
51:25|15:52\n
51:28|11:70
