2:144|2:150
2:145|2:120,13:37
2:147|3:60\n
2:151|2:129,3:164,62:2
2:159|2:174
2:160|3:89,24:5\n
2:162|3:88,16:85\n
2:164|3:190
2:164|16:65,29:63,45:5
2:168|2:208,24:21
2:173|5:3,6:145,16:115
2:174|3:77
2:176|22:53,41:52
2:177|2:215
2:184|2:185,2:196
2:188|4:29
2:191|2:217
2:193|8:39\n
2:214|3:142
2:218|8:72,8:74,8:75,9:20
2:225|5:89
2:225|3:155,5:101
2:231|2:232,65:2
2:234|2:240
2:242|3:103,5:89,24:59
2:243|10:60,27:73,40:61
2:245|57:11
2:248|3:49
2:251|22:40
