6:112|25:31
6:116|10:66,43:20
6:117|16:125\n
6:119|6:121
6:122|10:12
6:130|7:35,39:71
6:131|11:117,28:59
6:132|46:19
6:135|11:93,39:39
6:136|6:100
6:140|6:31
6:141|6:99
6:144|7:37,10:17
6:145|2:173,5:3,16:115
6:147|12:110
6:148|16:35
6:149|16:9\n
6:151|17:31,25:68
6:152|17:34
6:155|6:92
6:158|7:53,16:33
6:159|30:32
6:160|27:89,28:84
6:164|17:15,35:18,39:7
6:164|39:7
6:165|10:14,35:39
7:8|23:102
7:9|23:103
7:10|15:20
7:11|2:34,15:31,17:61,18:50,20:116,38:74
7:14|15:36,38:79
7:15|15:37,38:80
7:16|15:39
7:18|11:119,38:85
7:19|2:35
7:34|10:49,16:61,34:30\n
7:38|38:61
7:43|43:72
7:44|7:50
7:45|11:19\n
7:46|7:48
7:51|29:64
7:53|6:24,11:21
7:54|10:3,11:7,25:59,32:4,57:4
7:54|16:12
7:55|7:205
7:57|25:48,27:63
7:59|11:25,23:23
7:60|7:66,7:90,11:27,23:24,23:33
7:61|7:67
7:62|7:68
7:63|7:69
7:64|7:72,7:83,26:119,27:57,29:15
7:65|11:50
7:66|7:75,7:88,7:109,7:127
7:69|7:74
7:70|10:78,46:22
7:71|12:40,53:23
7:71|10:20,10:102
7:73|7:85,11:61,11:64
7:78|7:91,11:67,11:94\n
7:79|7:93
7:80|27:54,29:28
7:81|27:55,29:29
7:82|27:56,29:24,29:29
7:84|26:173,27:58
7:85|11:84,11:85,29:36
7:85|11:86
7:86|3:99
7:87|10:109
