15:4|26:208
15:5|23:43\n
15:12,15:13|26:200,26:201/
15:19|50:7\n
15:20|7:10
15:23|50:43
15:28|38:71
15:29,15:30,15:31,15:32|38:72,38:73,38:74,38:75/
15:34,15:35,15:37,15:38,15:39|38:77,38:78,38:79,38:80,38:81,38:82/
15:36|7:14,38:79
15:37|7:15,38:80
15:40,15:41|38:83,38:84/
15:47,15:48|37:44,37:45/
15:52|51:25\n
15:57,15:58,15:59|51:31,51:32,51:33/
15:60|27:57\n
15:65|11:81
15:74|11:82
15:82|26:149\n
15:88|20:131
16:2|40:15
16:4|36:77\n
16:9|6:149
16:12|7:54
16:14|35:12\n
16:15|31:10
16:18|14:34
16:23|2:77,11:5,36:76,64:4
16:28|4:97,16:32
16:29|39:72,40:76\n
16:30|39:10
16:33|6:158,7:53
16:34|39:48,39:51,45:33
16:35|6:148
16:36|3:137,6:11,27:69,29:20,30:42
16:38|5:53,6:109,24:53,35:42
16:42|29:59\n
16:43|12:109,21:7,21:25,22:52
16:54|30:33
16:55|29:66,30:34
16:58|43:17\n
16:61|35:45
16:61|7:34,10:49,34:30
16:65|2:164,29:63,45:5
16:66|23:21
16:70|22:5
16:72|42:11
16:72|29:67\n
16:73|22:71
16:76|18:32
16:78|32:9,67:23
16:84|16:89
16:85|2:162,3:88\n
16:90|29:45
16:93|5:48,42:8
16:96|16:97,29:7,39:35\n
16:97|3:195,4:124,40:40
16:109|11:22\n
16:110|16:119
16:111|2:281,3:161,39:70\n
16:114|5:88
16:115|2:173,5:3,6:145
16:116|10:69
16:124|10:93,32:25,45:17
16:125|6:117
16:127|27:70\n
