67:5|41:12
67:23|16:78,32:9
67:24|23:79\n
67:25|10:48,21:38,27:71,32:28,34:29,36:48\n
67:26|46:23\n
68:2|52:29\n
68:30|37:50,37:27\n
68:33|38:26
68:43|70:44
68:46|52:40\n
68:48|52:48,76:24
69:7|54:20
69:19|84:7
69:21|101:7
69:22,69:23|88:10,88:11/
69:24|52:19,77:43
69:25|84:10
69:34,69:35|107:3,107:4/
69:40,69:41|81:19,81:20/
70:4|32:5
70:12|80:36
70:24|51:19
70:37|50:17
70:42|43:83,52:45
70:43|54:7
71:11,71:12|11:52/
72:20|18:38\n
72:24|19:75
72:25|21:109
73:8|76:25
73:19|76:29\n
74:54|80:11
74:56|76:30,81:29
76:24|52:48,68:48
77:7|51:5
77:43|52:19,69:24
