4:149|33:54
4:157|4:171
4:168|4:137
4:171|5:77
4:173|24:38,35:30,42:26
4:176|4:11
5:2|5:8
5:3|2:173,6:145,16:115
5:6|4:43
5:8|4:135
5:10|5:86\n
5:13|4:46,5:41
5:13|5:14
5:15|5:19
5:17|5:72
5:20|2:54,61:5
5:32|7:101
5:36|13:18,39:47\n
5:44|5:45,5:47
5:46|57:27
5:48|16:93,42:8
5:48|3:55,6:164
5:53|6:109,16:38,24:53,35:42
5:64|5:68
5:69|2:62,22:17\n
5:76|7:188,10:49,13:16,20:89,25:3,34:42
