58:2|58:3
58:5|58:20
58:6|58:18
58:14|60:13
58:15|65:10
58:16|63:2
58:17|3:10,3:116\n
59:1|57:1,61:1,62:1,64:1\n
59:2|33:26
59:9|64:16\n
60:4|33:21,60:6
60:6|33:21,60:4
61:1|57:1,59:1,62:1,64:1\n
61:5|2:54,5:20
61:7|2:114,6:21,6:93,11:18,29:68
61:8|9:32
61:9|9:33,48:28
61:14|3:52,5:111
62:1|57:1,59:1,61:1,64:1\n
62:2|2:129,2:151,3:164
63:3|9:87,9:93\n
64:1|57:1,59:1,61:1,62:1\n
64:3|40:64
64:4|2:77,11:5,16:23,36:76
64:6|40:22
64:12|5:92\n
64:18|32:6
65:2|2:231,2:232
66:8|57:12
66:8|2:271,8:29,48:5
66:9|9:73\n
66:12|21:91
